date,price,percentChange,change
Jan-84,29.98,1.283783784,0.38
Feb-84,30.55,1.901267512,0.57
Mar-84,30.85,0.981996727,0.3
Apr-84,30.26,-1.912479741,-0.59
May-84,30.83,1.883674818,0.57
Jun-84,29.75,-3.503081414,-1.08
Jul-84,27.6,-7.226890756,-2.15
Aug-84,29.23,5.905797101,1.63
Sep-84,29.66,1.471091345,0.43
Oct-84,28.46,-4.045853001,-1.2
Nov-84,27.31,-4.04075896,-1.15
Dec-84,26.41,-3.295496155,-0.9
Jan-85,26.41,0,0
Feb-85,26.73,1.211662249,0.32
Mar-85,28.29,5.836139169,1.56
Apr-85,27.63,-2.332979852,-0.66
May-85,27.84,0.760043431,0.21
Jun-85,26.87,-3.484195402,-0.97
Jul-85,27.12,0.930405657,0.25
Aug-85,28.08,3.539823009,0.96
Sep-85,29.08,3.561253561,1
Oct-85,30.38,4.47042641,1.3
Nov-85,29.75,-2.073732719,-0.63
Dec-85,26.3,-11.59663866,-3.45
Jan-86,18.83,-28.40304183,-7.47
Feb-86,13.26,-29.58045672,-5.57
Mar-86,10.42,-21.41779789,-2.84
Apr-86,13.34,28.02303263,2.92
May-86,14.3,7.196401799,0.96
Jun-86,12.78,-10.62937063,-1.52
Jul-86,11.15,-12.7543036,-1.63
Aug-86,15.9,42.60089686,4.75
Sep-86,14.77,-7.106918239,-1.13
Oct-86,15.27,3.385240352,0.5
Nov-86,15,-1.768172888,-0.27
Dec-86,17.94,19.6,2.94
Jan-87,18.75,4.515050167,0.81
Feb-87,16.6,-11.46666667,-2.15
Mar-87,18.83,13.43373494,2.23
Apr-87,18.73,-0.531067446,-0.1
May-87,19.38,3.470368393,0.65
Jun-87,20.29,4.695562436,0.91
Jul-87,21.37,5.322819123,1.08
Aug-87,19.73,-7.67430978,-1.64
Sep-87,19.59,-0.709579321,-0.14
Oct-87,19.96,1.888718734,0.37
Nov-87,18.51,-7.264529058,-1.45
Dec-87,16.7,-9.778498109,-1.81
Jan-88,16.94,1.437125749,0.24
Feb-88,16.01,-5.489964581,-0.93
Mar-88,17.08,6.683322923,1.07
Apr-88,17.99,5.327868852,0.91
May-88,17.51,-2.668148972,-0.48
Jun-88,15.16,-13.42090234,-2.35
Jul-88,16.31,7.585751979,1.15
Aug-88,15.18,-6.928264868,-1.13
Sep-88,13.37,-11.92358366,-1.81
Oct-88,13.58,1.570680628,0.21
Nov-88,15.32,12.81296024,1.74
Dec-88,17.24,12.53263708,1.92
Jan-89,17.03,-1.218097448,-0.21
Feb-89,18.15,6.576629477,1.12
Mar-89,20.19,11.23966942,2.04
Apr-89,20.42,1.139177811,0.23
May-89,19.9,-2.546523017,-0.52
Jun-89,20.27,1.859296482,0.37
Jul-89,18.31,-9.669462259,-1.96
Aug-89,18.83,2.839978154,0.52
Sep-89,20.13,6.903876792,1.3
Oct-89,19.94,-0.943864878,-0.19
Nov-89,19.89,-0.250752257,-0.05
Dec-89,21.82,9.703368527,1.93
Jan-90,22.68,3.941338222,0.86
Feb-90,21.54,-5.026455026,-1.14
Mar-90,20.28,-5.849582173,-1.26
Apr-90,18.54,-8.579881657,-1.74
May-90,17.4,-6.148867314,-1.14
Jun-90,17.07,-1.896551724,-0.33
Jul-90,20.69,21.20679555,3.62
Aug-90,27.32,32.04446593,6.63
Sep-90,39.51,44.6193265,12.19
Oct-90,35.23,-10.83270058,-4.28
Nov-90,28.85,-18.10956571,-6.38
Dec-90,28.44,-1.421143847,-0.41
Jan-91,21.54,-24.26160338,-6.9
Feb-91,19.16,-11.04921077,-2.38
Mar-91,19.63,2.45302714,0.47
Apr-91,20.96,6.775343861,1.33
May-91,21.13,0.811068702,0.17
Jun-91,20.56,-2.69758637,-0.57
Jul-91,21.68,5.447470817,1.12
Aug-91,22.26,2.675276753,0.58
Sep-91,22.23,-0.134770889,-0.03
Oct-91,23.37,5.128205128,1.14
Nov-91,21.48,-8.087291399,-1.89
Dec-91,19.12,-10.98696462,-2.36
Jan-92,18.9,-1.150627615,-0.22
Feb-92,18.68,-1.164021164,-0.22
Mar-92,19.44,4.068522484,0.76
Apr-92,20.85,7.25308642,1.41
May-92,22.11,6.043165468,1.26
Jun-92,21.6,-2.306648575,-0.51
Jul-92,21.87,1.25,0.27
Aug-92,21.48,-1.783264746,-0.39
Sep-92,21.71,1.070763501,0.23
Oct-92,20.62,-5.020727775,-1.09
Nov-92,19.89,-3.540252182,-0.73
Dec-92,19.5,-1.960784314,-0.39
Jan-93,20.26,3.897435897,0.76
Feb-93,20.6,1.678183613,0.34
Mar-93,20.44,-0.776699029,-0.16
Apr-93,20.53,0.440313112,0.09
May-93,20.02,-2.484169508,-0.51
Jun-93,18.85,-5.844155844,-1.17
Jul-93,17.88,-5.145888594,-0.97
Aug-93,18.29,2.293064877,0.41
Sep-93,18.79,2.733734281,0.5
Oct-93,16.92,-9.952102182,-1.87
Nov-93,15.43,-8.806146572,-1.49
Dec-93,14.17,-8.165910564,-1.26
Jan-94,15.19,7.198306281,1.02
Feb-94,14.48,-4.674127716,-0.71
Mar-94,14.79,2.140883978,0.31
Apr-94,16.9,14.26639621,2.11
May-94,18.31,8.343195266,1.41
Jun-94,19.37,5.789186237,1.06
Jul-94,19.77,2.065049045,0.4
Aug-94,17.56,-11.17855336,-2.21
Sep-94,18.39,4.726651481,0.83
Oct-94,18.19,-1.08754758,-0.2
Nov-94,18.05,-0.769653656,-0.14
Dec-94,17.76,-1.606648199,-0.29
Jan-95,18.39,3.547297297,0.63
Feb-95,18.49,0.54377379,0.1
Mar-95,19.17,3.677663602,0.68
Apr-95,20.38,6.311945749,1.21
May-95,18.89,-7.311089303,-1.49
Jun-95,17.4,-7.887771308,-1.49
Jul-95,17.56,0.91954023,0.16
Aug-95,17.84,1.59453303,0.28
Sep-95,17.54,-1.68161435,-0.3
Oct-95,17.64,0.570125428,0.1
Nov-95,18.18,3.06122449,0.54
Dec-95,19.55,7.535753575,1.37
Jan-96,17.74,-9.25831202,-1.81
Feb-96,19.54,10.14656144,1.8
Mar-96,21.47,9.877175026,1.93
Apr-96,21.2,-1.257568701,-0.27
May-96,19.76,-6.79245283,-1.44
Jun-96,20.92,5.870445344,1.16
Jul-96,20.42,-2.390057361,-0.5
Aug-96,22.25,8.961802155,1.83
Sep-96,24.38,9.573033708,2.13
Oct-96,23.35,-4.224774405,-1.03
Nov-96,23.75,1.713062099,0.4
Dec-96,25.92,9.136842105,2.17
Jan-97,24.15,-6.828703704,-1.77
Feb-97,20.3,-15.94202899,-3.85
Mar-97,20.41,0.541871921,0.11
Apr-97,20.21,-0.979911808,-0.2
May-97,20.88,3.3151905,0.67
Jun-97,19.8,-5.172413793,-1.08
Jul-97,20.14,1.717171717,0.34
Aug-97,19.61,-2.631578947,-0.53
Sep-97,21.18,8.006119327,1.57
Oct-97,21.08,-0.472143532,-0.1
Nov-97,19.15,-9.155597723,-1.93
Dec-97,17.64,-7.885117493,-1.51
Jan-98,17.21,-2.437641723,-0.43
Feb-98,15.44,-10.28471819,-1.77
Mar-98,15.61,1.101036269,0.17
Apr-98,15.39,-1.409352979,-0.22
May-98,15.2,-1.234567901,-0.19
Jun-98,14.18,-6.710526316,-1.02
Jul-98,14.21,0.211565585,0.03
Aug-98,13.34,-6.12244898,-0.87
Sep-98,16.14,20.98950525,2.8
Oct-98,14.42,-10.65675341,-1.72
Nov-98,11.22,-22.19140083,-3.2
Dec-98,12.05,7.397504456,0.83
Jan-99,12.75,5.809128631,0.7
Feb-99,12.27,-3.764705882,-0.48
Mar-99,16.76,36.59331703,4.49
Apr-99,18.66,11.33651551,1.9
